NomDep;NomLoc;zip2010;zip2022
GENERAL LOPEZ;AARON CASTELLANOS;aaroncastellanosa3v;AARONCASTELLANOS
ROSARIO;ACEBAL;acebala1v;ACEBAL
SAN CRISTOBAL;AGUARA GRANDE;aguaragrandea3h;AGUARAGRANDE
ROSARIO;ALBARELLOS;albarellosa3v;ALBARELLOS
CONSTITUCION;ALCORTA;Alcortaa2h;ALCORTA
CASTELLANOS;ALDAO;Aldaoa3h;ALDAO
SAN JAVIER;ALEJANDRA;Alejandraa3v;ALEJANDRA
ROSARIO;ALVAREZ;alvareza1v;ALVAREZ
ROSARIO;ALVEAR;alveara3h;ALVEAR
SAN CRISTOBAL;AMBROSETTI;Ambrosettia2h;AMBROSETTI
GENERAL LOPEZ;AMENABAR;amenabara2h;AMENABAR
LA CAPITAL;ANGEL GALLARDO;angelgallardoa3v;ANGELGALLARDO
CASTELLANOS;ANGELICA;angelicaa3h;ANGELICA
SAN JUSTO;ANGELONI;angelonia3h;ANGELONI
ROSARIO;ARBILLA;arbillaa3v;ARBILLA
CASEROS;AREQUITO;arequitoa2h;AREQUITO
ROSARIO;ARMINDA;armindaa3h;ARMINDA
BELGRANO;ARMSTRONG;armstrongA3h;ARMSTRONG
SAN JERONIMO;AROCENA;arocenaa3v;AROCENA
LA CAPITAL;ARROYO AGUIAR;arroyoaguiara3v;ARROYOAGUIAR
GENERAL OBLIGADO;ARROYO CEIBAL;ACEIBALA3H;ARROYOCEIBAL
LA CAPITAL;ARROYO LEYES;arroyoleyesa1h;ARROYOLEYES
ROSARIO;ARROYO SECO;asecoA1H;ARROYOSECO
SAN CRISTOBAL;ARRUFO;arrufoa3v;ARRUFO
CASEROS;ARTEAGA;arteaga_A3h;ARTEAGA
CASTELLANOS;ATALIVA;atalivaa3h;ATALIVA
CASTELLANOS;AURELIA;aureliaa3h;AURELIA
GENERAL OBLIGADO;AVELLANEDA;avellanedaa1h;AVELLANEDA
SAN CRISTOBAL;BALNEARIO LA VERDE;balneariolaverdea3h;BALNEARIOLAVERDE
SAN JERONIMO;BALNEARIO MONJE;balnearioMonjea3v;BALNEARIOMONJE
SAN JERONIMO;BARRANCAS;barrancasa2v;BARRANCAS
CONSTITUCION;BARRIO ARROYO DEL MEDIO;BARRIOARROYODELMEDIO;BARRIOARROYODELMEDIO
SAN JERONIMO;BARRIO CAIMA;BARRIOCAIMA;BARRIOCAIMA
IRIONDO;BARRIO CICARELLI;barriocicarellia3v;BARRIOCICARELLI
